"All","Todo"
"Automatic invoice.","Facturación automática."
"Bank Type","Tipo de banco"
"Confirm your payment securely","Confirma tu pago de forma segura"
"Connection did not succeed. Make sure you have entered the right parameters.","La conexión ha fallado. Asegúrate de haber introducido los parámetros correctos."
"Connection succeeded","Conexión exitosa"
"Corporate","Empresa"
"Enabled","Activado"
"Environment","Espacio"
"Filter the bank type","Filtrar el tipo de banco"
"Fintecture APP ID","App ID de Fintecture"
"Fintecture APP Secret","App Secret de Fintecture"
"Fintecture Private Key","Clave privada de Fintecture"
"Fintecture Settings","Ajustes Fintecture"
"How it works?","¿Cómo funciona?"
"Instant bank payment","Pago bancario inmediato"
"Login with your usual banking ID’s","Inicia sesión con tus identificaciones bancarias habituales"
"No private key file found","No se ha encontrado ningún archivo de Clave Privada"
"Pay for your purchases instantly and securely.","Paga tus compras de forma inmediata y segura."
"Pay instantly and securely directly from your bank account.<br>Collect payments without any credit limit. Reduce your transaction fees by 40%!","Paga de forma inmediata y segura directamente desde tu aplicación bancaria.<br>Cobra sin límite de crédito. ¡Reduce tus gastos de transacción en un 40%!"
"Pay Now","Pagar ahora"
"Payment from Applicable Countries","Pagos de Países Aplicables"
"Payment from Specific Countries","Pagos de Países Específicos"
"Payment Options","Opciones de pago"
"Payment pending","Pagos pendientes"
"Payment was initiated but has not been confirmed yet. Merchant will send confirmation once the transaction is settled.","El pago se ha iniciado pero aún no se ha confirmado. La empresa enviará la confirmación una vez que se haya liquidado la transacción."
"Please re-upload Private Key file","Por favor, vuelve a cargar el archivo de Clave Privada"
"Please upload Private Key file","Por favor, carga el archivo de Clave Privada"
"Private Key file already saved","Archivo de Clave Privada guardado"
"Production","Producción"
"Retail","Venta al por menor"
"Sandbox","Sandbox"
"Select your bank","Selecciona tu banco"
"Show logo at checkout","Mostrar logo en caja"
"Show Logo","Mostrar logo"
"Something went wrong try another payment method!","Algo salió mal, intenta otro método de pago."
"Technical Error","Error técnico"
"Test Connection","Conexión de prueba"
"The buyer has either abandoned the payment flow on the banks web page","El comprador ha abandonado el proceso de pago en la página web del banco"
"The buyer has select *Pay By Bank* as payment method","El comprador ha seleccionado *Pay by bank* como método de pago"
"The buyer has selected a Bank in Connect and has been redirected to the Authentication page of the bank","El comprador ha seleccionado un banco en Connect y ha sido redirigido a la página de identificación del banco"
"The payment initiation has been created successfully","La iniciación del pago se ha creado con éxito"
"The payment was unsuccessful. Please choose a different bank or different payment method.","El pago ha fallado. Por favor, elige otro banco u otro método de pago."
"Title","Título"
"Upload APP Private Key","Cargar Clave Privada"
"Use system value","Usar el valor del sistema"
"We can't place the order.","No podemos realizar el pedido."
"You will be automatically redirected to your secured bank environment to confirm your payment.","Serás redirigido automáticamente a tu aplicación bancaria segura para confirmar tu pago."
"Your purchase is confirmed!","¡Tu compra ha sido confirmada!"
"Unknown status", "Estado desconocido"